u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,p1_n_m,p2_n_m,p3_n_m
0.0000000001,0.0000000000,0.0000000000,0.1745329252,0.3490658504,0.5235987756,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-9146.3414634146
-0.0003412653,0.0001710950,0.0977841596,0.1735822822,0.3498413478,0.5232331832,0.0017497188,0.0034899667,0.0052372237,-0.0000000000,0.0000000000,-9146.3409744901
-0.0013647653,0.0006860805,0.1955638441,0.1726286012,0.3506080702,0.5228675047,0.0035082031,0.0069784622,0.0104769887,-0.0000000003,0.0000000000,-9146.3395077165
-0.0030700050,0.0015474812,0.2933345681,0.1716719270,0.3513659927,0.5225017664,0.0052754329,0.0104653546,0.0157193993,-0.0000000020,0.0000000000,-9146.3370630939
-0.0054564209,0.0027577864,0.3910918356,0.1707123043,0.3521150910,0.5221359940,0.0070513890,0.0139505120,0.0209645595,-0.0000000085,-0.0000000000,-9146.3336406222
-0.0085233815,0.0043194502,0.4888311415,0.1697497779,0.3528553413,0.5217702131,0.0088360528,0.0174338021,0.0262125727,-0.0000000260,-0.0000000002,-9146.3292403015
-0.0122701873,0.0062348914,0.5865479719,0.1687843927,0.3535867205,0.5214044493,0.0106294060,0.0209150925,0.0314635424,-0.0000000646,-0.0000000006,-9146.3238621318
-0.0166960701,0.0085064934,0.6842378062,0.1678161935,0.3543092060,0.5210387279,0.0124314312,0.0243942505,0.0367175714,-0.0000001396,-0.0000000016,-9146.3175061129
-0.0218001938,0.0111366046,0.7818961170,0.1668452254,0.3550227756,0.5206730739,0.0142421114,0.0278711429,0.0419747624,-0.0000002720,-0.0000000035,-9146.3101722451
-0.0275816537,0.0141275378,0.8795183721,0.1658715333,0.3557274080,0.5203075123,0.0160614302,0.0313456368,0.0472352176,-0.0000004899,-0.0000000071,-9146.3018605281
-0.0340394771,0.0174815709,0.9771000349,0.1648951622,0.3564230821,0.5199420678,0.0178893719,0.0348175985,0.0524990391,-0.0000008292,-0.0000000133,-9146.2925709621
-0.0411726228,0.0212009462,1.0746365658,0.1639161571,0.3571097776,0.5195767648,0.0197259212,0.0382868943,0.0577663283,-0.0000013349,-0.0000000235,-9146.2823035471
-0.0489799816,0.0252878710,1.1721234232,0.1629345631,0.3577874747,0.5192116278,0.0215710633,0.0417533905,0.0630371865,-0.0000020617,-0.0000000396,-9146.2710582830
-0.0574603758,0.0297445175,1.2695560644,0.1619504253,0.3584561541,0.5188466808,0.0234247841,0.0452169528,0.0683117145,-0.0000030750,-0.0000000638,-9146.2588351698
-0.0666125598,0.0345730226,1.3669299469,0.1609637887,0.3591157973,0.5184819476,0.0252870699,0.0486774467,0.0735900126,-0.0000044522,-0.0000000994,-9146.2456342075
-0.0764352197,0.0397754882,1.4642405290,0.1599746985,0.3597663859,0.5181174520,0.0271579075,0.0521347378,0.0788721809,-0.0000062833,-0.0000001500,-9146.2314553962
-0.0869269737,0.0453539814,1.5614832713,0.1589831998,0.3604079026,0.5177532174,0.0290372843,0.0555886910,0.0841583188,-0.0000086722,-0.0000002203,-9146.2162987357
-0.0980863719,0.0513105341,1.6586536378,0.1579893377,0.3610403302,0.5173892671,0.0309251881,0.0590391714,0.0894485256,-0.0000117371,-0.0000003162,-9146.2001642262
-0.1099118968,0.0576471435,1.7557470963,0.1569931574,0.3616636524,0.5170256241,0.0328216073,0.0624860437,0.0947429000,-0.0000156122,-0.0000004443,-9146.1830518676
-0.1224019627,0.0643657718,1.8527591201,0.1559947041,0.3622778532,0.5166623112,0.0347265305,0.0659291723,0.1000415401,-0.0000204479,-0.0000006129,-9146.1649616599
-0.1355549166,0.0714683467,1.9496851888,0.1549940228,0.3628829173,0.5162993510,0.0366399470,0.0693684214,0.1053445437,-0.0000264120,-0.0000008315,-9146.1458936031
-0.1493690379,0.0789567613,2.0465207893,0.1539911588,0.3634788299,0.5159367657,0.0385618466,0.0728036552,0.1106520080,-0.0000336910,-0.0000011112,-9146.1258476972
-0.1638425384,0.0868328741,2.1432614168,0.1529861571,0.3640655768,0.5155745776,0.0404922193,0.0762347374,0.1159640300,-0.0000424904,-0.0000014647,-9146.1048239422
